date,code,nav,source,change_pct,valid
2026-05-05,00919,24.2,TWSE,0.0,1
2026-05-06,00919,24.91,TWSE,0.02933884297520665,1
2026-05-07,00919,25.43,TWSE,0.020875150541951007,1
2026-05-08,00919,25.47,TWSE,0.0015729453401493964,1
2026-05-09,00919,25.47,TWSE,0.0,1
2026-05-10,00919,25.47,TWSE,0.0,1
2026-05-11,00919,25.75,TWSE,0.010993325480958036,1
2026-05-12,00919,25.73,TWSE,-0.0007766990291261971,1
2026-05-13,00919,25.55,TWSE,-0.0069957248348231525,1
2026-05-14,00919,25.89,TWSE,0.013307240704500973,1
2026-05-16,00919,25.76,TWSE,-0.005021243723445307,1
2026-05-18,00919,25.64,TWSE,-0.00465838509316774,1
2026-05-19,00919,25.76,TWSE,0.004680187207488338,1
2026-05-20,00919,25.98,TWSE,0.008540372670807409,1
2026-05-21,00919,26.53,TWSE,0.02117013086989995,1
2026-05-22,00919,26.73,TWSE,0.007538635506973211,1
2026-05-23,00919,26.73,TWSE,0.0,1
2026-05-24,00919,26.73,TWSE,0.0,1
2026-05-25,00919,27.47,TWSE,0.02768424990647207,1
2026-05-27,00919,28.85,TWSE,0.05023662176920286,1
2026-05-28,00919,28.41,TWSE,-0.015251299826689818,1
2026-05-29,00919,29.01,TWSE,0.021119324181626237,1
2026-05-30,00919,29.01,TWSE,0.0,1
2026-05-31,00919,29.01,TWSE,0.0,1
2026-06-01,00919,30.0,TWSE,0.03412616339193376,1
2026-06-02,00919,30.3,TWSE,0.010000000000000024,1
2026-06-04,00919,30.52,TWSE,0.007260726072607223,1
2026-06-05,00919,30.67,TWSE,0.00491480996068159,1
2026-06-06,00919,30.67,TWSE,0.0,1
2026-06-07,00919,30.67,TWSE,0.0,1
2026-06-08,00919,29.48,TWSE,-0.038800130420606496,1
2026-06-09,00919,30.72,TWSE,0.0420624151967435,1
2026-06-10,00919,30.24,TWSE,-0.015625000000000014,1
2026-06-11,00919,30.19,TWSE,-0.0016534391534390595,1
2026-06-12,00919,30.19,TWSE,0.0,1
2026-06-14,00919,30.19,TWSE,0.0,1
