date,code,nav,source,change_pct,valid
2026-05-05,00713,53.35,TWSE,0.0,1
2026-05-06,00713,53.75,TWSE,0.007497656982193038,1
2026-05-07,00713,54.3,TWSE,0.01023255813953483,1
2026-05-08,00713,54.75,TWSE,0.008287292817679611,1
2026-05-09,00713,54.75,TWSE,0.0,1
2026-05-10,00713,54.75,TWSE,0.0,1
2026-05-11,00713,55.2,TWSE,0.008219178082191832,1
2026-05-12,00713,54.8,TWSE,-0.007246376811594305,1
2026-05-13,00713,55.15,TWSE,0.006386861313868639,1
2026-05-14,00713,55.55,TWSE,0.007252946509519467,1
2026-05-16,00713,55.4,TWSE,-0.0027002700270026747,1
2026-05-17,00713,55.4,TWSE,0.0,1
2026-05-18,00713,54.95,TWSE,-0.008122743682310392,1
2026-05-19,00713,55.3,TWSE,0.006369426751592253,1
2026-05-20,00713,55.0,TWSE,-0.0054249547920433485,1
2026-05-21,00713,55.65,TWSE,0.011818181818181792,1
2026-05-22,00713,55.7,TWSE,0.0008984725965858807,1
2026-05-23,00713,55.7,TWSE,0.0,1
2026-05-24,00713,55.7,TWSE,0.0,1
2026-05-25,00713,56.05,TWSE,0.006283662477558246,1
2026-05-27,00713,56.05,TWSE,0.0,1
2026-05-28,00713,55.75,TWSE,-0.00535236396074928,1
2026-05-29,00713,56.55,TWSE,0.014349775784753313,1
2026-05-30,00713,56.55,TWSE,0.0,1
2026-05-31,00713,56.55,TWSE,0.0,1
2026-06-01,00713,57.95,TWSE,0.02475685234305934,1
2026-06-02,00713,58.9,TWSE,0.016393442622950744,1
2026-06-04,00713,60.2,TWSE,0.02207130730050941,1
2026-06-05,00713,59.65,TWSE,-0.009136212624584788,1
2026-06-06,00713,59.65,TWSE,0.0,1
2026-06-07,00713,59.65,TWSE,0.0,1
2026-06-08,00713,57.65,TWSE,-0.03352891869237217,1
2026-06-09,00713,59.5,TWSE,0.032090199479618414,1
2026-06-10,00713,58.95,TWSE,-0.009243697478991548,1
2026-06-11,00713,59.2,TWSE,0.004240882103477523,1
2026-06-12,00713,59.8,TWSE,0.010135135135135039,1
2026-06-14,00713,59.8,TWSE,0.0,1
2026-06-15,00713,60.55,TWSE,0.01254180602006689,1
2026-06-16,00713,60.75,TWSE,0.0033030553261767606,1
2026-06-17,00713,61.05,TWSE,0.004938271604938225,1
2026-06-18,00713,61.7,TWSE,0.01064701064701074,1
2026-06-20,00713,61.7,TWSE,0.0,1
2026-06-22,00713,60.8,TWSE,-0.014586709886547903,1
2026-06-23,00713,60.45,TWSE,-0.005756578947368328,1
2026-06-24,00713,60.5,TWSE,0.0008271298593878768,1
2026-06-25,00713,60.85,TWSE,0.005785123966942172,1
2026-06-26,00713,59.65,TWSE,-0.01972062448644212,1
2026-06-27,00713,59.65,TWSE,0.0,1
2026-06-28,00713,59.65,TWSE,0.0,1
2026-06-29,00713,60.0,TWSE,0.005867560771165154,1
2026-07-01,00713,59.9,TWSE,-0.0016666666666666904,1
2026-07-02,00713,59.9,TWSE,0.0,1
2026-07-03,00713,60.5,TWSE,0.010016694490818054,1
2026-07-04,00713,60.5,TWSE,0.0,1
2026-07-06,00713,61.0,TWSE,0.008264462809917356,1
2026-07-07,00713,60.6,TWSE,-0.0065573770491803044,1
2026-07-08,00713,60.55,TWSE,-0.0008250825082508955,1
2026-07-10,00713,60.55,TWSE,0.0,1
2026-07-11,00713,60.55,TWSE,0.0,1
2026-07-12,00713,60.55,TWSE,0.0,1
2026-07-13,00713,60.55,TWSE,0.0,1
2026-07-14,00713,60.05,TWSE,-0.008257638315441783,1
