date,code,nav,source,change_pct,valid
2026-05-05,00929,23.56,TWSE,0.0,1
2026-05-06,00929,24.4,TWSE,0.03565365025466893,1
2026-05-07,00929,25.08,TWSE,0.027868852459016383,1
2026-05-08,00929,25.1,TWSE,0.0007974481658693432,1
2026-05-09,00929,25.1,TWSE,0.0,1
2026-05-10,00929,25.1,TWSE,0.0,1
2026-05-11,00929,25.99,TWSE,0.03545816733067717,1
2026-05-12,00929,26.03,TWSE,0.0015390534821086072,1
2026-05-13,00929,25.67,TWSE,-0.01383019592777562,1
2026-05-14,00929,26.1,TWSE,0.016751071289442917,1
2026-05-16,00929,25.78,TWSE,-0.012260536398467444,1
2026-05-17,00929,25.78,TWSE,0.0,1
2026-05-19,00929,25.23,TWSE,-0.02133436772692012,1
2026-05-20,00929,25.07,TWSE,-0.006341656757827988,1
2026-05-21,00929,26.49,TWSE,0.05664140406860782,1
2026-05-22,00929,27.08,TWSE,0.022272555681389198,1
2026-05-23,00929,27.08,TWSE,0.0,1
2026-05-24,00929,27.08,TWSE,0.0,1
2026-05-25,00929,28.8,TWSE,0.06351550960118178,1
2026-05-27,00929,30.04,TWSE,0.0430555555555555,1
2026-05-28,00929,29.4,TWSE,-0.021304926764314266,1
2026-05-29,00929,30.25,TWSE,0.02891156462585039,1
2026-05-30,00929,30.25,TWSE,0.0,1
