date,code,nav,source,change_pct,valid
2026-05-05,00878,26.58,TWSE,0.0,1
2026-05-06,00878,27.33,TWSE,0.028216704288939055,1
2026-05-07,00878,27.89,TWSE,0.020490303695572715,1
2026-05-08,00878,27.82,TWSE,-0.0025098601649336783,1
2026-05-09,00878,27.82,TWSE,0.0,1
2026-05-10,00878,27.82,TWSE,0.0,1
2026-05-13,00878,27.95,TWSE,0.004672897196261646,1
2026-05-14,00878,28.12,TWSE,0.006082289803220097,1
2026-05-16,00878,27.9,TWSE,-0.007823613086771068,1
2026-05-17,00878,27.9,TWSE,0.0,1
2026-05-18,00878,27.8,TWSE,-0.0035842293906809273,1
2026-05-19,00878,27.0,TWSE,-0.028776978417266213,1
2026-05-20,00878,26.93,TWSE,-0.002592592592592603,1
2026-05-21,00878,27.71,TWSE,0.028963980690679583,1
2026-05-22,00878,28.27,TWSE,0.020209310718152244,1
2026-05-23,00878,28.27,TWSE,0.0,1
2026-05-24,00878,28.27,TWSE,0.0,1
2026-05-25,00878,29.48,TWSE,0.04280155642023349,1
2026-05-27,00878,30.55,TWSE,0.036295793758480334,1
2026-05-28,00878,30.0,TWSE,-0.01800327332242228,1
2026-05-29,00878,30.76,TWSE,0.025333333333333385,1
2026-05-30,00878,30.76,TWSE,0.0,1
2026-05-31,00878,30.76,TWSE,0.0,1
2026-06-01,00878,31.99,TWSE,0.039986996098829546,1
2026-06-02,00878,32.49,TWSE,0.015629884338856006,1
2026-06-04,00878,32.68,TWSE,0.005847953216374198,1
2026-06-05,00878,32.32,TWSE,-0.011015911872705002,1
2026-06-06,00878,32.32,TWSE,0.0,1
2026-06-07,00878,32.32,TWSE,0.0,1
